,Müll,-2,rubbish,-2.1,Everything from here until liwc is added by George Paltoglou,N_lemma
570,hoffnungsvoll,2.0,hopeful,2,,
571,hoffentlich,1.0,,,,
572,Hoffnung*,2.0,hopefulness,2,,
573,hoffnungslos*,-4.0,hopeless*,-4,,
574,horrend*,-4.0,horr*,-4,,
575,Horro*,-4.0,horr*,-4,,
576,furchtbar*,-4.0,horr*,-4,,
577,feindselig*,-3.0,hostil*,-3,,
578,Feindseligkeit*,-3.0,hostil*,-3,,
579,umarmen,3.0,hug ,3,,
580,Umarmung,3.0,hug ,3,,
581,hugg*,3.0,hugg*,3,,
582,Umarmungen,3.0,hugs,3,,
583,humiliat*,-4.0,humiliat*,-4,,
584,Humor*,3.0,humor*,3,,
585,Humor*,3.0,humour*,3,,
586,hungr*,-2.0,hungr*,-2,new - hungry,
587,Hunger*,-2.0,hungr*,-2,new - hungry,
588,hurra*,3.0,hurra*,3,,
589,verletzten,-3.0,hurt*,-3,,V_lemma
590,ideal*,2.0,ideal*,2,,
591,Idiot*,-2.0,idiot,-2  // insult,,
592,Ignorant*,-3.0,ignor*,-3  // insult,,
593,unmoralisch*,-3.0,immoral*,-3,,
594,ungeduld*,-2.0,impatien*,-2,,
595,unpersönlich*,-1.0,impersonal,-1,,
596,unpersoenlich*,-1.0,impersonal,-1,,
597,unhöflich*,-3.0,impolite*,-3,,
598,unhoeflich*,-3.0,impolite*,-3,,
599,wichtigtuerisch*,-2.0,importan*,1,,
600,Wichtigtuer,-2.0,importan*,1,,
601,wichtig*,1.0,importan*,1,,
602,beeindruck*,2.0,impress*,2,,
603,verbesser*,2.0,improve*,2,,
604,Verbesserung,2.0,improving,2,,
605,inadequa*,-2.0,inadequa*,-2,,
606,Anreiz*,1.0,incentive*,1,,
607,indecis*,-2.0,indecis*,-2,,
608,ineffekt*,-2.0,ineffect*,-2,,
609,uneffekt*,-2.0,ineffect*,-2,,
610,minderwertig*,-2.0,inferior*,-2,,
611,gehemmt*,-2.0,inhib*,-2,,
612,Unschuldslamm*,2.0,innocen*,2,,
613,Unschuldslämmer*,2.0,innocen*,2,,
614,Unschuldslaemmer*,2.0,innocen*,2,,
615,Unschuldslämmchen*,2.0,innocen*,2,,
616,Unschuldslaemmchen*,2.0,innocen*,2,,
617,unschuldig*,2.0,innocen*,2,,
618,Unschuld,2.0,innocen*,2,,
619,unsicher*,-2.0,insecur*,-2,,
620,unehrlich*,-2.0,insincer*,-2,,
621,verlogen*,-2.0,insincer*,-2,,
622,korrupt*,-2.0,insincer*,-2,,
623,inspirieren,3.0,inspir*,3,,V_lemma
